Event	ID	Name			Wwise Object Path	Notes
	144991338	CarExplosion			\Default Work Unit\CarExplosion	
	685626117	uiConfirm			\Default Work Unit\uiConfirm	
	1933252553	uiCancel			\Default Work Unit\uiCancel	
	2388455330	EngineOff			\Default Work Unit\EngineOff	
	2439330724	EngineOn			\Default Work Unit\EngineOn	
	2587421243	HogImpact			\Default Work Unit\HogImpact	
	3164408517	uiClick			\Default Work Unit\uiClick	
	3266676374	TireScreech			\Default Work Unit\TireScreech	

Switch Group	ID	Name			Wwise Object Path	Notes
	1449613434	hog_impact			\Default Work Unit\hog_impact	

Switch	ID	Name	Switch Group			Notes
	545371365	low	hog_impact			
	2849147824	medium	hog_impact			
	3550808449	high	hog_impact			

Game Parameter	ID	Name			Wwise Object Path	Notes
	796049864	RPM			\Default Work Unit\RPM	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	536878760	car-explosion-4	Y:\hogtagon\hogtagon_WwiseProject\.cache\04\{04464716-E5BF-C776-6E88-A982DF6C8D51}.wem		\Actor-Mixer Hierarchy\Default Work Unit\car-explosion\car-explosion-4		5631152
	553553016	tire-screeching-1	Y:\hogtagon\hogtagon_WwiseProject\.cache\D8\{D8FE6E4D-ABB2-CDE5-E746-5F890A04AD0F}.wem		\Actor-Mixer Hierarchy\Default Work Unit\tire-screech\tire-screeching-1		290708
	595717928	gear-shift-2	Y:\hogtagon\hogtagon_WwiseProject\.cache\0B\{0B0E7B9A-1BFF-21C3-CF92-BBFA9CEFE130}.wem		\Actor-Mixer Hierarchy\Default Work Unit\hog-engine\gear-shift-2		158896
	607401393	impact-3b	Y:\hogtagon\hogtagon_WwiseProject\.cache\A3\{A3680B8E-FDCE-A51D-457C-7BECAE421E0B}.wem		\Actor-Mixer Hierarchy\Default Work Unit\hog-impact\high-impact\impact-3b		690352
	708298719	impact-1b	Y:\hogtagon\hogtagon_WwiseProject\.cache\60\{60AA4B35-9D79-088C-65AB-57C1757AB8CE}.wem		\Actor-Mixer Hierarchy\Default Work Unit\hog-impact\low-impact\impact-1b		303280
	729798953	impact-1c	Y:\hogtagon\hogtagon_WwiseProject\.cache\F5\{F5772C2A-9AFE-2B93-336A-DAF6FE61A3E1}.wem		\Actor-Mixer Hierarchy\Default Work Unit\hog-impact\low-impact\impact-1c		303240
	758309002	3k-rpm-loop	Y:\hogtagon\hogtagon_WwiseProject\.cache\B8\{B82C6134-2243-0A79-1843-F2AD25F59264}.wem		\Actor-Mixer Hierarchy\Default Work Unit\hog-engine\3k-rpm-loop		1913052
	783942544	impact-2c	Y:\hogtagon\hogtagon_WwiseProject\.cache\23\{239E381F-A6FB-8313-DFE1-8E0B08894BC3}.wem		\Actor-Mixer Hierarchy\Default Work Unit\hog-impact\medium-impact\impact-2c		280752
	796949936	2k-rpm-loop	Y:\hogtagon\hogtagon_WwiseProject\.cache\8A\{8A7FA16C-F8F1-EDE1-5AC8-69DE5D18EE0E}.wem		\Actor-Mixer Hierarchy\Default Work Unit\hog-engine\2k-rpm-loop		1148800
	811391391	4k-rpm-loop	Y:\hogtagon\hogtagon_WwiseProject\.cache\B5\{B559CE53-BDB7-4A0C-3E98-8501CCCF27F3}.wem		\Actor-Mixer Hierarchy\Default Work Unit\hog-engine\4k-rpm-loop		1536176
	842752452	gear-shift-3	Y:\hogtagon\hogtagon_WwiseProject\.cache\63\{631BF3EF-E5B1-AE4F-126C-64497A765ECB}.wem		\Actor-Mixer Hierarchy\Default Work Unit\hog-engine\gear-shift-3		124080
	862707693	car-explosion-2	Y:\hogtagon\hogtagon_WwiseProject\.cache\4B\{4B35B243-15D4-BF3F-5176-920C0187E28F}.wem		\Actor-Mixer Hierarchy\Default Work Unit\car-explosion\car-explosion-2		1214640
	1032222109	impact-2a	Y:\hogtagon\hogtagon_WwiseProject\.cache\71\{71DC7EA8-0B0A-CF6A-8A5E-DA9386318B53}.wem		\Actor-Mixer Hierarchy\Default Work Unit\hog-impact\medium-impact\impact-2a		423096
	1040679246	tire-screeching-2	Y:\hogtagon\hogtagon_WwiseProject\.cache\0B\{0B280AAA-4D5D-4457-7759-4A3CC5B44236}.wem		\Actor-Mixer Hierarchy\Default Work Unit\tire-screech\tire-screeching-2		291108
	1060462459	ui-navigation-click	Y:\hogtagon\hogtagon_WwiseProject\.cache\EE\{EE3D3735-906C-E2D9-0762-C266C94EA5C2}.wem		\Actor-Mixer Hierarchy\Default Work Unit\UI\ui-navigation-click		32176

